"fprd__Allow_row_creation__c","fprd__Allow_row_deletion__c","fprd__Complex_default_value__c","fprd__Complex_sections_descending_order__c","fprd__Complex_section_order_by__c","fprd__Default_value__c","fprd__Descending_order__c","fprd__DeveloperName__c","fprd__First_expanded__c","fprd__Full_width__c","fprd__Header_order__c","fprd__Header__c","fprd__Hidden__c","fprd__Important__c","fprd__Label__c","fprd__Lightning_component_api_name__c","fprd__Lightning_component_attributes__c","fprd__LoV_labels__c","fprd__LoV_values__c","fprd__Lower_limit__c","fprd__Mandatory__c","fprd__Map_field__c","fprd__Max_complex_sections__c","fprd__Order__c","fprd__Product__r.Unique_id__c","fprd__Read_only__c","fprd__Related_map_fields__c","fprd__Section_name__c","fprd__Section_order__c","fprd__Table_default_value__c","fprd__Table_order_by__c","fprd__Table__c","fprd__Type__c","fprd__Upper_limit__c","fprd__Values_control_field__c","fprd__Version_from__c","fprd__Version_to__c","fprd__Visibility_condition__c","fprd__Visibility_control_field__c","fprd__Visibility_control_value__c","Name"
"false","false","","false","","02","false","Destino_PC00001_2","false","false","","false","false","false","Destino","","","Campañas,Capital de trabajo,Pago de impuestos,Pago haberes,Pago proveedores,Prórroga,Subrrogación","01,02,03,04,05,06,07","","false","gipr_Destino__c","","4.0","0160010","false","","Información general del producto","1.0","","","","LIST","","","","","","","","PC-000304"
"false","false","","false","","100","false","Cobertura_PC00001_2","false","false","","false","false","false","Cobertura (%)","","","","","","false","gipr_Cobertura__c","","9.0","0160010","false","","Información general del producto","1.0","","","","number","100.0","","","","","Tipo_garantia_PC00001_2","Dineraria,No dineraria","PC-000305"
"false","false","","false","","","false","Cuenta_vinculada_PC00001_2","false","false","","false","false","false","Cuenta vinculada","","","","","","false","cpliq_Cuenta_vinculada__c","","1.0","0160010","false","","Criterios de pago y liquidación","2.0","","","","text","","","","","","","","PC-000306"
"false","false","","false","","","false","Fecha_Vencimiento_PC00001_2","false","false","","false","false","false","Fecha de vencimiento","","","","","","false","cpliq_Fecha_Vencimiento__c","","5.0","0160010","false","","Criterios de pago y liquidación","2.0","","","","date","","","","","","Tipo_amortizacion_PC00001_2","Al vencimiento","PC-000307"
"false","false","","false","","","false","n_PC00001_2","false","false","","false","false","false","Plazo","","","","","","false","cpliq_n__c","","3.0","0160010","false","","Criterios de pago y liquidación","2.0","","","","number","","","","","","","","PC-000308"
"false","false","","false","","01","false","Amortizacion_PC00001_2","false","false","","false","false","false","Amortización","","","Mensual,Trimestral,Semestral,Anual","01,02,03,04","","false","cpliq_Amortizacion__c","","7.0","0160010","false","","Criterios de pago y liquidación","2.0","","","","LIST","","","","","","Tipo_amortizacion_PC00001_2","En cuotas","PC-000309"
"false","false","","false","","","false","PlazoIG_PC00001_2","false","false","2.0","true","false","false","Plazo","","","","","","false","gipr_Plazo__c","","5.0","0160010","false","","Información general del producto","1.0","","","","number","","","","","","","","PC-000310"
"false","false","","false","","","false","Codigo_Simulacion_PC00001_2","false","false","","false","false","false","Código simulación","","","","","","false","cpliq_Codigo_Simulacion__c","","5.0","0160010","false","","Criterios de pago y liquidación","2.0","","","","text","","","","","","Tipo_amortizacion_PC00001_2","A medida","PC-000311"
"false","false","","false","","","false","Garantia_PC00001_2","false","false","","false","false","false","Garantía","","","Cuenta en garantía,Depósito cuenta a plazo,Super depósitos,Acciones y bono,Cartas de crédito,Certificados bancarios,Fianza bancaria,Fondos mutuos,Hipoteca,Leasing,Prenda agrícola,Prenda industrial,Prenda minera,Prenda transporte,Prenda vehicular,Warrants","01,02,03,04,05,06,07,09,10,11,12,13,14,15,16,17","","false","gipr_Garantia__c","","8.0","0160010","false","","Información general del producto","1.0","","","","LIST","","Tipo_garantia_PC00001_2","","","","Tipo_garantia_PC00001_2","No dineraria,Dineraria","PC-000312"
"false","false","","false","","","false","n_Gracia_PC00001_2","false","false","","false","false","false","Plazo de gracia","","","","","","false","cpliq_n_gracia__c","","5.0","0160010","false","","Criterios de pago y liquidación","2.0","","","","number","","","","","","Tipo_amortizacion_PC00001_2","En cuotas","PC-000313"
"false","false","","false","","02","false","Periodicidad_PC00001_2","false","false","","false","false","false","Periodicidad","","","Días,Meses","01,02","","false","cpliq_Periodicidad__c","","4.0","0160010","false","","Criterios de pago y liquidación","2.0","","","","LIST","","","","","","","","PC-000314"
"false","false","","false","","01","false","Modalidad_PC00001_2","false","false","","false","false","false","Modalidad producto","","","Regular,Crédito líquido,Crédito puntual,Refinanciado,Reprogramado","01,03,09,14,02","","false","PE_List_Product_mode__c","","2.0","0160010","false","","Información general del producto","1.0","","","","LIST","","","","","","","","PC-000315"
"false","false","","false","","","false","Importe_PC00001_2","false","false","1.0","true","false","false","Importe","","","","","","false","UnitPrice","","1.0","0160010","false","","Información general del producto","1.0","","","","currency","","","","","","","","PC-000316"
"false","false","","false","","false","false","Mejorado_PC00001_2","false","false","","false","false","false","Mejorado","","","","","","false","PE_List_Mejorado__c","","3.0","0160010","false","","Información general del producto","1.0","","","","checkbox","","","","","","","","PC-000317"
"false","false","","false","","03","false","gipr_Tipo_garantia_PC00024_2","false","false","","false","false","false","Tipo garantía","","","Dineraria,No dineraria,Sin garantía","01,02,03","","false","gipr_Tipo_Garantia__c","","10.0","0159601","false","","Información general del producto","1.0","","","","LIST","","","","","","","","PC-000350"
"false","false","","false","","FALSE","false","Mejorado_PC00024_2","false","false","","false","false","false","Mejorado","","","","","","false","PE_List_Mejorado__c","","3.0","0159601","false","","Información general del producto","1.0","","","","checkbox","","","","","","","","PC-000356"
"false","false","","false","","01","false","gipr_Opcioncompra_Monto_PC00024_2","false","false","","false","false","false","Opción de compra (monto)","","","","","0.0","false","gipr_Buy_Option_amt__c","","9.0","0159601","false","","Información general del producto","1.0","","","","number","","","","","","gipr_Opcioncompra_Tipo_PC00024_2","Monto","PC-000357"
"false","false","","false","","01","false","gipr_Opcioncompra_Tipo_PC00024_2","false","false","","false","false","false","Tipo opción de compra:","","","(%),Monto","01,02","","false","gipr_Buy_Type_Option__c","","7.0","0159601","false","","Información general del producto","1.0","","","","LIST","","","","","","","","PC-000358"
"false","false","","false","","03","false","Tipo_garantia_PC00029_2","false","false","","false","false","false","Tipo garantía","","","Dineraria,No dineraria,Sin garantía","01,02,03","","false","gipr_Tipo_Garantia__c","","8.0","0292235","false","","Información general del producto","1.0","","","","LIST","","","","","","","","PC-000359"
"false","false","","false","","","false","Fecha_Vencimiento_PC00029_2","false","false","","false","false","false","Fecha de vencimiento","","","","","","false","cpliq_Fecha_Vencimiento__c","","4.0","0292235","false","","Información general del producto","1.0","","","","date","","","","","","","","PC-000360"
"false","false","","false","","","false","Cuenta_vinculada_PC00029_2","false","false","","false","false","false","Cuenta vinculada","","","","","","false","cpliq_Cuenta_vinculada__c","","2.0","0292235","false","","Criterios de pago y liquidación","2.0","","","","text","","","","","","","","PC-000361"
"false","false","","false","","02","false","Garantia_PC00029_2","false","false","","false","false","false","Garantía","","","Cuenta en garantía,Depósito cuenta a plazo,Super depósitos,Acciones y bono,Cartas de crédito,Certificados bancarios,Fianza bancaria,Fondos mutuos,Hipoteca,Leasing,Prenda agrícola,Prenda industrial,Prenda minera,Prenda transporte,Prenda vehicular,Warrants","01,02,03,04,05,06,07,09,10,11,12,13,14,15,16,17","","false","gipr_Garantia__c","","9.0","0292235","false","","Información general del producto","1.0","","","","LIST","","Tipo_garantia_PC00029_2","","","","Tipo_garantia_PC00029_2","No dineraria,Dineraria","PC-000362"
"false","false","","false","","","false","Importe_PC00029_2","false","false","1.0","true","false","false","Importe","","","","","","false","UnitPrice","","1.0","0292235","false","","Información general del producto","1.0","","","","currency","","","","","","","","PC-000363"
"false","false","","false","","02","false","PeriodicidadIG_PC00029_2","false","false","3.0","true","false","false","Periodicidad","","","Días,Meses","01,02","","false","gipr_Periodicidad__c","","3.0","0292235","false","","Información general del producto","1.0","","","","LIST","","","","","","","","PC-000364"
"false","false","","false","","01","false","tcf_type_beneficiary_PC00029_2","false","false","","false","false","false","Tipo de Beneficiario","","","Pública,Privada","01,02","","false","tcf_type_beneficiary__c","","6.0","0292235","false","","Información general del producto","1.0","","","","LIST","","","","","","","","PC-000365"
"false","false","","false","","100","false","Cobertura_PC00029_2","false","false","","false","false","false","Cobertura (%)","","","","","0.0","false","gipr_Cobertura__c","","10.0","0292235","false","","Información general del producto","1.0","","","","number","100.0","","","","","Tipo_garantia_PC00029_2","Dineraria,No dineraria","PC-000366"
"false","false","","false","","","false","tcf_beneficiary_PC00029_2","false","false","","false","false","false","Beneficiario","","","","","","false","tcf_beneficiary__c","","5.0","0292235","false","","Información general del producto","1.0","","","","text","","","","","","","","PC-000367"
"false","false","","false","","02","false","tcf_Legal_VB_text_PC00029_2","false","false","","false","false","false","Texto VB° Legal","","","SI,NO","01,02","","false","tcf_Legal_VB_text__c","","7.0","0292235","false","","Información general del producto","1.0","","","","LIST","","","","","","","","PC-000368"
"false","false","","false","","","false","PlazoIG_PC00029_2","false","false","2.0","true","false","false","Plazo","","","","","","false","gipr_Plazo__c","","2.0","0292235","false","","Información general del producto","1.0","","","","number","","","","","","","","PC-000369"
"false","false","","false","","01","false","Periodicity_commission_PC00029_2","false","false","","false","false","false","Periodicidad comisión","","","Bimestral,Trismestral,Semestral,Anual","01,02,03,04","","false","tcf_Periodicity_commission__c","","1.0","0292235","false","","Criterios de pago y liquidación","2.0","","","","LIST","","","","","","","","PC-000370"
"false","false","","false","","03","false","Ca_Tipo_garantia_PC00029_2","false","false","","false","false","false","Tipo garantía","","","Dineraria,No dineraria,Sin garantía","01,02,03","","false","gipr_Tipo_Garantia__c","","8.0","0292230","false","","Información general del producto","1.0","","","","LIST","","","","","","","","PC-000371"
"false","false","","false","","","false","Ca_Fecha_Vencimiento_PC00029_2","false","false","","false","false","false","Fecha de vencimiento","","","","","","false","cpliq_Fecha_Vencimiento__c","","4.0","0292230","false","","Información general del producto","1.0","","","","date","","","","","","","","PC-000372"
"false","false","","false","","","false","Ca_Cuenta_vinculada_PC00029_2","false","false","","false","false","false","Cuenta vinculada","","","","","","false","cpliq_Cuenta_vinculada__c","","2.0","0292230","false","","Criterios de pago y liquidación","2.0","","","","text","","","","","","","","PC-000373"
"false","false","","false","","02","false","Ca_Garantia_PC00029_2","false","false","","false","false","false","Garantía","","","Cuenta en garantía,Depósito cuenta a plazo,Super depósitos,Acciones y bono,Cartas de crédito,Certificados bancarios,Fianza bancaria,Fondos mutuos,Hipoteca,Leasing,Prenda agrícola,Prenda industrial,Prenda minera,Prenda transporte,Prenda vehicular,Warrants","01,02,03,04,05,06,07,09,10,11,12,13,14,15,16,17","","false","gipr_Garantia__c","","9.0","0292230","false","","Información general del producto","1.0","","","","LIST","","Ca_Tipo_garantia_PC00029_2","","","","Ca_Tipo_garantia_PC00029_2","No dineraria,Dineraria","PC-000374"
"false","false","","false","","","false","Ca_Importe_PC00029_2","false","false","1.0","true","false","false","Importe","","","","","","false","UnitPrice","","1.0","0292230","false","","Información general del producto","1.0","","","","currency","","","","","","","","PC-000375"
"false","false","","false","","","false","gipr_Garantia_PC00024_2","false","false","","false","false","false","Garantía","","","","","","false","gipr_Garantia__c","","11.0","0159601","false","","Información general del producto","1.0","","","","LIST","","gipr_Tipo_garantia_PC00024_2","","","","gipr_Tipo_garantia_PC00024_2","No dineraria,Dineraria","PC-000351"
"false","false","","false","","100","false","gipr_Cobertura_PC00024_2","false","false","","false","false","false","Cobertura (%)","","","","","","false","gipr_Cobertura__c","","12.0","0159601","false","","Información general del producto","1.0","","","","number","","","","","","gipr_Tipo_garantia_PC00024_2","Dineraria,No dineraria","PC-000352"
"false","false","","false","","10","false","gipr_CuotaInicial_PC00024_2","false","false","","false","false","false","Cuota Inicial (%)","","","","","","false","gipr_CuotaInicial__c","","6.0","0159601","false","","Información general del producto","1.0","","","","number","","","","","","","","PC-000353"
"false","false","","false","","07","false","PE_Modality_PC00024_2","false","false","","false","false","false","Modalidad Producto","","","Construcción,Mobiliario, Inmobiliario","06,07,08","","false","PE_List_Product_mode__c","","2.0","0159601","false","","Información general del producto","1.0","","","","LIST","","","","","","","","PC-000354"
"false","false","","false","","","false","Importe_PC00024_2","false","false","1.0","true","false","false","Importe","","","","","","false","UnitPrice","","1.0","0159601","false","","Información general del producto","1.0","","","","currency","","","","","","","","PC-000355"
"false","false","","false","","02","false","Ca_PeriodicidadIG_PC00029_2","false","false","3.0","true","false","false","Periodicidad","","","Días,Meses","01,02","","false","gipr_Periodicidad__c","","3.0","0292230","false","","Información general del producto","1.0","","","","LIST","","","","","","","","PC-000376"
"false","false","","false","","01","false","Ca_tcf_type_beneficiary_PC00029_2","false","false","","false","false","false","Tipo de Beneficiario","","","Pública,Privada","01,02","","false","tcf_type_beneficiary__c","","6.0","0292230","false","","Información general del producto","1.0","","","","LIST","","","","","","","","PC-000377"
"false","false","","false","","100","false","Ca_Cobertura_PC00029_2","false","false","","false","false","false","Cobertura (%)","","","","","0.0","false","gipr_Cobertura__c","","10.0","0292230","false","","Información general del producto","1.0","","","","number","100.0","","","","","Ca_Tipo_garantia_PC00029_2","Dineraria,No dineraria","PC-000378"
"false","false","","false","","","false","Ca_tcf_beneficiary_PC00029_2","false","false","","false","false","false","Beneficiario","","","","","","false","tcf_beneficiary__c","","5.0","0292230","false","","Información general del producto","1.0","","","","text","","","","","","","","PC-000379"
"false","false","","false","","02","false","Ca_tcf_Legal_VB_text_PC00029_2","false","false","","false","false","false","Texto VB° Legal","","","SI,NO","01,02","","false","tcf_Legal_VB_text__c","","7.0","0292230","false","","Información general del producto","1.0","","","","LIST","","","","","","","","PC-000380"
"false","false","","false","","","false","Ca_PlazoIG_PC00029_2","false","false","2.0","true","false","false","Plazo","","","","","","false","gipr_Plazo__c","","2.0","0292230","false","","Información general del producto","1.0","","","","number","","","","","","","","PC-000381"
"false","false","","false","","01","false","Ca_Periodicity_commission_PC00029_2","false","false","","false","false","false","Periodicidad comisión","","","Bimestral,Trismestral,Semestral,Anual","01,02,03,04","","false","tcf_Periodicity_commission__c","","1.0","0292230","false","","Criterios de pago y liquidación","2.0","","","","LIST","","","","","","","","PC-000382"
